pose_id,repetition,cmd_x,cmd_y,cmd_z,meas_x,meas_y,meas_z
0,1,0.2,0.0,0.22,0.19956328802634493,-0.00016890129623773302,0.21958406295869284
0,2,0.2,0.0,0.22,0.19999144856045833,0.0006248380102802515,0.2198811333037657
0,3,0.2,0.0,0.22,0.20030831030900714,0.0003511848213449397,0.21952550513830843
0,4,0.2,0.0,0.22,0.19963502915002065,0.00026694218168705526,0.21985856984783583
0,5,0.2,0.0,0.22,0.1999719146894316,-0.0006134264081893153,0.22059903682013177
1,1,0.225,0.0,0.22,0.2249904865230293,-0.00046216979387629306,0.22017910904834298
1,2,0.225,0.0,0.22,0.2245894269023359,0.0002705563391840825,0.21947814974272511
1,3,0.225,0.0,0.22,0.22481041945470062,-0.00014088661465925964,0.21956645663246968
1,4,0.225,0.0,0.22,0.22544081835586308,-0.0004214822400403353,0.21978006533800026
1,5,0.225,0.0,0.22,0.22534425557578505,0.00036518221958926444,0.22054500960293452
2,1,0.17500000000000002,0.0,0.22,0.1748792710985797,-0.0005792903158223455,0.219590953025816
2,2,0.17500000000000002,0.0,0.22,0.17474040535959476,-0.00010595944105082742,0.22019564218495663
2,3,0.17500000000000002,0.0,0.22,0.174867164237467,0.000373098480004225,0.22067861697166485
2,4,0.17500000000000002,0.0,0.22,0.17468186377103012,-0.00041858132729002213,0.22025920424938422
2,5,0.17500000000000002,0.0,0.22,0.1751952476822995,-0.0001418765912776214,0.2196349885404963
3,1,0.2,0.025,0.22,0.19951624004725774,0.025607977661571628,0.21995526429407947
3,2,0.2,0.025,0.22,0.1996506965325255,0.02541111189935851,0.2198896946115081
3,3,0.2,0.025,0.22,0.199892968461638,0.02531981341681062,0.22022860546777054
3,4,0.2,0.025,0.22,0.2000150679706107,0.025054126842769826,0.21973963473501817
3,5,0.2,0.025,0.22,0.2004469349890353,0.025488011174335884,0.2195923141105632
4,1,0.2,-0.025,0.22,0.20049482785004752,-0.02492191645938442,0.21966104721638807
4,2,0.2,-0.025,0.22,0.20026746988380334,-0.024735333743238063,0.21994384677247308
4,3,0.2,-0.025,0.22,0.2000354368063308,-0.025503316200473934,0.22043755481336236
4,4,0.2,-0.025,0.22,0.19982933776636444,-0.024939029824381936,0.22029742201268507
4,5,0.2,-0.025,0.22,0.19916100418729038,-0.025588048591257732,0.21961578258267403
