pose_id,rep,cmd_x,cmd_y,cmd_z,meas_x,meas_y,meas_z,meas_qx,meas_qy,meas_qz,meas_qw,pos_error_mm,ori_error_deg
0,1,0.2,0.0,0.22,0.20006623130013143,0.0005501046962777241,0.2206131520936021,7.006251173517722e-05,-0.04734789133830666,0.0014606435289481901,0.9988773892713468,0.8264122771792228,0.0
0,2,0.2,0.0,0.22,0.20016221000017165,0.000133274651733664,0.21957433439260834,1.5723336943154057e-05,-0.0449150544553716,0.0003536561141481169,0.9989907469858771,0.47462135041158815,0.3066244744586615
0,3,0.2,0.0,0.22,0.19982420898820225,-0.0002808940885107889,0.21982945701421303,-3.835634365015574e-05,-0.051480073048365604,-0.0007471133927607557,0.9986737417341583,0.3726779827013204,0.5375111707183777
0,4,0.2,0.0,0.22,0.19960541213196864,-0.00024066307374808255,0.2201297442114994,-3.589822641033801e-05,-0.0557430759221758,-0.0006410509925062046,0.9984449395192891,0.4800540189197624,0.9930200267045489
0,5,0.2,0.0,0.22,0.1994785441067755,0.0003639327073858487,0.2197402088930863,6.652464466865353e-05,-0.06877276801650187,0.0009695823723589541,0.9976318769284808,0.686916795045225,2.459946081387588
1,1,0.225,0.0,0.22,0.2250926788834126,3.362877025024618e-05,0.21950686821729687,5.2920795513624324e-06,-0.06765811255282189,7.871224936755348e-05,0.9977085614457588,0.5028908676155499,0.0
1,2,0.225,0.0,0.22,0.22547185756836058,0.0002074850596469886,0.21981016852766863,3.579433317554877e-05,-0.07395430825370179,0.00048413395311780146,0.9972615126554306,0.5493046537972921,0.7248073586491728
1,3,0.225,0.0,0.22,0.22469725583525965,-0.0004200068118751442,0.22025470180429152,-7.502890273365702e-05,-0.07569503835326699,-0.0009850825141511739,0.9971305256343331,0.577003258582837,0.9314029563962961
1,4,0.225,0.0,0.22,0.2247237351223356,-0.0004829503112599101,0.219741852617971,-9.175972091738875e-05,-0.08114372718507605,-0.0011322080823653188,0.9967017634295255,0.613354185300309,1.5558901749508354
1,5,0.225,0.0,0.22,0.22493652802601288,-0.00032630285671539816,0.2200893179848818,-6.297789789250535e-05,-0.0820931040342107,-0.0007637032894200223,0.9966243700919111,0.3442091634541355,1.6616268354818833
2,1,0.17500000000000002,0.0,0.22,0.17540044063473928,7.830583501471787e-05,0.21975634488560347,2.3420624660504742e-05,-0.0982811473496259,0.00023817933326055965,0.9951586601129092,0.47523922451679207,0.0
2,2,0.17500000000000002,0.0,0.22,0.17491917077918145,-0.000371705071168377,0.2201038815290745,-0.00011406661748346505,-0.09982405417018697,-0.0011353200252381891,0.9950044503650598,0.39432143608137976,0.23789127286251216
2,3,0.17500000000000002,0.0,0.22,0.1746887208715647,0.0003360862924290612,0.21966116471683073,0.00010882624589369427,-0.1055546635921083,0.0010280618097038116,0.9944129646377908,0.5697877156262366,0.8427860752702658
2,4,0.17500000000000002,0.0,0.22,0.17513606029019818,-0.0004201170658506501,0.21982905913564815,-0.00013589595618656534,-0.10580391499707952,-0.0012799411576258405,0.9943861799392694,0.47353091841306966,0.8840582857505512
2,5,0.17500000000000002,0.0,0.22,0.17539292167667186,-0.00017000651023469943,0.2200390220059331,-5.828403927299056e-05,-0.11226432672217228,-0.000516415533460758,0.9936782431268106,0.42989809777183136,1.6136684950990672
3,1,0.2,0.025,0.22,0.20020157111063303,0.024663021702395697,0.2199709817097963,0.006551023008853662,-0.10040656929699895,0.06477550604201678,0.992814050442753,0.3937351227214416,0.0
3,2,0.2,0.025,0.22,0.19976474505899416,0.02539563276112347,0.22020461041038453,0.006833409282323924,-0.10150275173984696,0.06681959072103151,0.9925651808333259,0.5037217376484452,0.2692677016917154
3,3,0.2,0.025,0.22,0.20022784673163171,0.02513303983780968,0.219797425616097,0.0066915940888510154,-0.10067615786752727,0.06598239606511842,0.9927063297950148,0.33264111678106817,0.14315351116595212
3,4,0.2,0.025,0.22,0.20038652510238247,0.02522863647931552,0.21971406231716792,0.006780916947661522,-0.10172407348754788,0.06616755243771212,0.9925865640047983,0.5323876904183165,0.2227387839621999
3,5,0.2,0.025,0.22,0.19975508894814029,0.025068341060854944,0.22022426620486485,0.006868057210948355,-0.10333481872489166,0.06596043922386392,0.9924333556902629,0.33903872133769314,0.36640925154002235
4,1,0.2,-0.025,0.22,0.1999689992811779,-0.02512726178297537,0.22021479835221758,-0.006888044765520706,-0.10351158016815155,-0.06603780577042635,0.9924096512123549,0.2515848526619674,0.0
4,2,0.2,-0.025,0.22,0.20024478354049619,-0.025473642731869924,0.2202990263237805,-0.00728731388332617,-0.10819171848429457,-0.06680468221436532,0.9918561294573013,0.6112881165741172,0.5490555057541677
4,3,0.2,-0.025,0.22,0.19955891325269803,-0.02439227828688113,0.21990101405953247,-0.0075046298030685904,-0.11589844416873701,-0.06417867602535365,0.9911570656129217,0.7574175966082493,1.4442265343732357
4,4,0.2,-0.025,0.22,0.2002459709175654,-0.025098943599934503,0.220309181668194,-0.008205528569738689,-0.12362961815934097,-0.0657154841613268,0.9901160850910913,0.4072896171070184,2.3255302795698505
4,5,0.2,-0.025,0.22,0.20039108774132094,-0.02521659778857538,0.2201265001812817,-0.008573861880876202,-0.1286812209083182,-0.06592604057632521,0.9894550972388394,0.4646143769746613,2.910556475570149
